Tournament ID,Tournament City,Surface,draw_size,Tournament Level,Tournament Date,year,Latitude,Longitude,Level Weight,Month Name,Month Number,Draw Weight,Draw Size
2025-0341,Metz,Hard,28,Tour Event,2025-11-02,2025,49.1196964,6.1763552,3,November,11,28,28 Draw
2025-0605,Turin,Hard,8,Finals,2025-11-09,2025,45.0677551,7.6824892,5,November,11,8,8 Draw
2025-7696,Jeddah,Hard,8,Finals,2025-12-17,2025,21.5504432,39.1742363,5,December,12,8,8 Draw
2026-9900,Sydney,Hard,18,Tour Event,2026-01-05,2026,-33.8698439,151.2082848,3,January,1,18,18 Draw
2026-9900,Perth,Hard,18,Tour Event,2026-01-05,2026,-31.9558967,115.8605784,3,January,1,18,18 Draw
2026-0339,Brisbane,Hard,32,Tour Event,2026-01-04,2026,-27.4689623,153.0235009,3,January,1,32,32 Draw
2026-0336,Hong Kong,Hard,28,Tour Event,2026-01-05,2026,22.3492155,114.1857978,3,January,1,28,28 Draw
2026-8998,Adelaide,Hard,28,Tour Event,2026-01-12,2026,-34.9281805,138.5999312,3,January,1,28,28 Draw
2026-0301,Auckland,Hard,28,Tour Event,2026-01-12,2026,-36.852095,174.7631803,3,January,1,28,28 Draw
2026-580,Melbourne,Hard,128,Grand Slam,2026-01-19,2026,-37.8142454,144.9631732,6,January,1,128,128 Draw
2026-0375,Montpellier,Hard,28,Tour Event,2026-02-02,2026,43.6112422,3.8767337,3,February,2,28,28 Draw
2026-0506,Buenos Aires,Clay,28,Tour Event,2026-02-09,2026,-34.6095579,-58.3887904,3,February,2,28,28 Draw
2026-0424,Dallas,Hard,32,Tour Event,2026-02-09,2026,32.7762719,-96.7968559,3,February,2,32,32 Draw
2026-0407,Rotterdam,Hard,32,Tour Event,2026-02-09,2026,51.9244424,4.47775,3,February,2,32,32 Draw
2026-0499,Delray Beach,Hard,28,Tour Event,2026-02-16,2026,26.4614625,-80.0728201,3,February,2,28,28 Draw
2026-0451,Doha,Hard,32,Tour Event,2026-02-16,2026,25.3108807,51.5081812,3,February,2,32,32 Draw
2026-6932,Rio de Janeiro,Clay,32,Tour Event,2026-02-16,2026,-22.9110137,-43.2093727,3,February,2,32,32 Draw
2026-0807,Acapulco,Hard,32,Tour Event,2026-02-23,2026,16.8680495,-99.8940182,3,February,2,32,32 Draw
2026-0495,Dubai,Hard,32,Tour Event,2026-02-23,2026,25.0742823,55.1885387,3,February,2,32,32 Draw
2026-8996,"Santiago, Chile",Clay,28,Tour Event,2026-02-23,2026,-33.4376995,-70.6510671,3,February,2,28,28 Draw
2026-0404,Indian Wells,Hard,96,Masters,2026-03-04,2026,33.7217965,-116.338303,4,March,3,96,96 Draw
2026-0403,Miami,Hard,96,Masters,2026-03-18,2026,25.7741566,-80.1935973,4,March,3,96,96 Draw
2026-4462,Bucharest,Clay,28,Tour Event,2026-03-30,2026,44.4361414,26.102684,3,March,3,28,28 Draw
2026-0717,Houston,Clay,28,Tour Event,2026-03-30,2026,29.7589382,-95.3676974,3,March,3,28,28 Draw
2026-0360,Marrakech,Clay,28,Tour Event,2026-03-30,2026,31.6258257,-7.9891608,3,March,3,28,28 Draw
2026-0410,Monte Carlo,Clay,56,Masters,2026-04-05,2026,43.7402961,7.426559,4,April,4,56,56 Draw
2026-0425,Barcelona,Clay,32,Tour Event,2026-04-13,2026,41.3825802,2.177073,3,April,4,32,32 Draw
2026-0308,Munich,Clay,32,Tour Event,2026-04-13,2026,48.1371079,11.5753822,3,April,4,32,32 Draw
2026-1536,Madrid,Clay,96,Masters,2026-04-22,2026,40.416782,-3.703507,4,April,4,96,96 Draw
